siret;nom_officiel;nature_juridique;activite;commune;code_postal
13002285800018;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE BORDEAUX GIRONDE (CCIT);7381;94.11Z;BORDEAUX;33000
18001003500000;;;;;
18330038300019;GIP DU GRAND PROJET DES VILLES RIVE DROITE (GIP-GPV);7410;84.13Z;CENON;33150
25330068500018;SI A VOCATION SOCIO-CULTURELLE DU CANTON DE CARBON BLANC ET DE LA RIVE DROITE;7353;91.01Z;CARBON-BLANC;33560
30016423300029;ASS FORMATION EDUCATION PERMANENT TIVOLI (AFEPT);9220;85.59A;BORDEAUX;33000
30016423300052;ASS FORMATION EDUCATION PERMANENT TIVOLI (AFEPT);9220;85.59A;BORDEAUX;33000
30091783800000;;;;;
30091783800025;ASS DEP DES AMIS DES VOYAGEURS 33 (ADAV 33);9220;88.99B;TALENCE;33400
30500910200081;MSF MEDECINS SANS FRONTIERES;9220;88.99B;PARIS;75019
30500910200100;;;;;
30537823400000;;;;;
30537823400036;ASSOCIATION DEPARTEMENTALE D'INFORMATION SUR LE LOGEMENT DE GIRONDE (ADIL33);9220;94.99Z;PESSAC;33600
30604031200028;ARTS ET LOISIRS D ARLAC;9220;93.29Z;MERIGNAC;33700
30733663600000;;;;;
30733663600039;CENTRE REGIONAL INFORMATION JEUNESSE  NOUVELLE AQUITAINE (CRIJ - NA);9220;94.99Z;BORDEAUX;33000
30912305700100;;;;;
30957565200040;CITES UNIES FRANCE (CUF);9220;94.99Z;PARIS;75018
31065677200202;LEO LAGRANGE FORMATION;9220;85.59A;VAULX-EN-VELIN;69120
31231100400039;GIHP AQUITAINE;9220;88.10B;MERIGNAC;33700
31231100400047;GIHP AQUITAINE;9220;88.10B;MERIGNAC;33700
31241056600011;COMITE ETUDE INFORMATION DROGUE (CEID);9220;88.99B;BORDEAUX;33800
31611221800100;;;;;
32123703400012;ARC EN REVE;9220;94.99Z;BORDEAUX;33000
32205354700053;GIRONDINS DE BORDEAUX;9220;93.12Z;MERIGNAC;33700
32404359500010;HABITAT JEUNES DES HAUTS DE GARONNE;9220;55.90Z;LORMONT;33310
32500114700000;;;;;
32571979700046;SECOURS POPULAIRE FRANCAIS (SPF);9220;88.99B;BORDEAUX;33800
32592166600013;COMITE DE JUMELAGE;9220;94.99Z;MIREBEAU;86110
3271960100018;;;;;
32721569500047;AGENCE QUALITE CONSTRUCTION (AQC);9220;70.22Z;PARIS;75016
32721569500070;AGENCE QUALITE CONSTRUCTION (AQC);9220;70.22Z;PARIS;75016
32740860500000;;;;;
32848008200069;CIE LES MARCHES DE L ETE;9220;90.01Z;BORDEAUX;33800
32848008200093;CIE LES MARCHES DE L ETE;9220;90.01Z;BORDEAUX;33800
32848008200100;;;;;
32852574600017;SIMOREP ET CIE;5710;20.17Z;BASSENS;33530
33145778800619;ASSOCIATION GENERALE DES INTERVENANTS RETRAITES ABCD (AGIR ABCD);9230;94.99Z;PARIS;75019
33230399900079;ASSOCIATION EIPF;9220;43.34Z;BORDEAUX;33200
33348540700017;;;;;
33348540700030;CENTRE D'INFORMATION SUR LES DROITS DE LA FEMME ET DES FAMILLES DE LA GIRONDE (CIDFF GIRONDE);9220;94.99Z;BORDEAUX;33000
33483378700011;;;;;
33785791600015;HOPITAL SUBURBAIN DU BOUSCAT;9230;86.10Z;LE BOUSCAT;33110
33884976300036;IFAID (IFAID);9220;85.59B;PESSAC;33600
33892405300014;CLUB MUNICIPAL OMNISPORT BASSENS (CMOB);9220;93.12Z;BASSENS;33530
33986341700418;LES RESTAURANTS DU COEUR;9230;88.99B;PARIS;75009
34063725500000;;;;;
34063725500027;BANQUE ALIMENT. DE BORDEAUX ET GIRONDE;9220;88.99B;BORDEAUX;33300
34077248200014;JEUNES SCIENCE BORDEAUX;9220;93.29Z;BORDEAUX;33800
34084009900022;RESEAU PAUL BERT;9220;87.90B;BORDEAUX;33000
34169319000000;;;;;
34169319000033;MUSIQUES DE NUIT DIFFUSION;9220;90.01Z;CENON;33150
34221545600000;;;;;
34221545600043;LA MEMOIRE DE BORDEAUX METROPOLE;9220;91.01Z;BORDEAUX;33000
34221545600050;LA MEMOIRE DE BORDEAUX METROPOLE;9220;91.01Z;BORDEAUX;33000
34426475900000;;;;;
34426475900046;ESCALES LITTERAIRES BORDEAUX AQUITAINE;9220;82.30Z;BORDEAUX;33000
34975346700000;;;;;
34975346700043;HAUTS DE GARONNE DEVELOPPEMENT;9220;70.22Z;BASSENS;33530
34975346700050;HAUTS DE GARONNE DEVELOPPEMENT;9220;70.22Z;BASSENS;33530
35011886500000;;;;;
35011886500017;;;;;
35011886500046;PARALLELES ATTITUDES DIFFUSION;9220;93.29Z;BORDEAUX;33800
35221687300015;;;;;
35221687300200;;;;;
35221687300211;ASSOCIATION POUR LE DROIT A L'INITIATIVE ECONOMIQUE (A.D.I.E.);9220;88.99B;PARIS;75019
37781852100000;;;;;
37781852100025;BORDEAUX TECHNOWEST;9220;94.99Z;MERIGNAC;33700
37781852100058;BORDEAUX TECHNOWEST;9220;94.99Z;MERIGNAC;33700
37796404400038;UNITEC;9220;70.22Z;PESSAC;33600
37796404400061;UNITEC;9220;70.22Z;PESSAC;33600
37809063300017;CTRE RENCONTRES ACTION CULTURELLE BEGLES;9220;94.99Z;BEGLES;33130
37914022100000;;;;;
37914022100019;ASS FESTIVAL INTERN FILM HISTOIRE PESSAC;9220;90.01Z;PESSAC;33600
37917042600025;EARL DES SERRES SANGUINET;6598;01.13Z;EYSINES;33320
37954994200025;RESTAURANTS DU COEUR - RELAIS DU COEUR DE LA GIRONDE;9220;88.99B;BRUGES;33520
38058299900021;CONSERVATOIRE DES RACES D'AQUITAINE;9220;91.04Z;MERIGNAC;33700
38175727700011;SYNDIC COPROP RES PARC CAPEYRON;9110;81.10Z;MERIGNAC;33700
38278967500032;HYDRAULIQUE SANS FRONTIERES (HSF);9220;94.99Z;CHAMBERY;73000
38345677900032;POLE D ENSEIGNEMENT SUPERIEUR DE LA MUSIQUE ET DE LA DANSE DE BDX NOUVELLE-AQUIT (PESMD BORDEAUX AQUIT);9220;85.52Z;BORDEAUX;33800
38389023300000;;;;;
38389023300026;INSTITUT DEPARTEMENTAL DE DEVELOPPEMENT ARTISTIQUE ET CULTUREL (I.D.D.A.C.);9220;90.02Z;BEGLES;33130
38906263900056;INTERCOMMUNALITES DE FRANCE;9220;94.99Z;PARIS;75009
38956456800027;GRAINE NOUVELLE-AQUITAINE;9220;94.99Z;BELIN-BELIET;33830
39061052500000;;;;;
39061052500029;AQUITEC;9220;94.99Z;BORDEAUX;33000
39253524100000;;;;;
39253524100013;SEPANSO GIRONDE;9220;91.04Z;BORDEAUX;33800
39452889700000;;;;;
39452889700280;ELECTRICIENS SANS FRONTIERES L'ENERGIE DU DEVELOPPEMENT;9220;94.99Z;PARIS;75016
39459802300000;;;;;
39484466600013;BORDEAUX METROPOLE SPORTS ET LOISIRS (BMSL);9220;93.12Z;BORDEAUX;33000
39507866000036;ESPACE 33;9220;88.99B;BORDEAUX;33200
39787018900040;JLA PRODUCTIONS (HAMSTER PRODUCTIONS- JLA MUSIQUE - LUDOC- EXILENE FILMS);5710;59.11A;SAINT-DENIS;93210
39811228400000;;;;;
39811228400011;ASS DEVELOPPE EPREUVES COMBINEES MEETING (ADEM);9220;93.12Z;TALENCE;33400
39811228400015;;;;;
39811228400029;ASS DEVELOPPE EPREUVES COMBINEES MEETING (ADEM);9220;93.12Z;TALENCE;33400
39819156900000;;;;;
39819156900142;ASSOCIATION UNIS-CITE;9220;85.60Z;PARIS;75018
39825237900019;EARL DOMAINE DE PEY;6598;01.42Z;SAINT-VINCENT-DE-PAUL;33440
39856806300059;FONDATION AGIR CONTRE L'EXCLUSION (FACE);9300;88.99B;SAINT-DENIS;93210
39873148900033;AQUITANIS OFFICE PUBLIC DE L'HABITAT DE BORDEAUX METROPOLE (AQUITANIS OPH DE BORDEAUX METROPOLE);4140;68.20A;BORDEAUX;33300
39931862500023;PROMO-FEMMES ST MICHEL;9220;88.99B;BORDEAUX;33000
39931862500031;PROMO-FEMMES ST MICHEL;9220;88.99B;BORDEAUX;33000
39949552200019;EMMAUS;9220;87.90B;PAREMPUYRE;33290
39988425300000;;;;;
39988425300036;CAP SCIENCES CCSTI BORDEAUX - NOUVELLE AQUITAINE;9220;90.01Z;BORDEAUX;33300
40092901400019;FONDS ARMENIEN DE FRANCE;9220;94.99Z;PARIS;75014
40097769000033;OXYGENE;9220;88.99B;BORDEAUX;33000
40228354300070;COMITE LIAISON ACTEURS DE LA PROMOTION;9220;85.59A;LORMONT;33310
40228354300100;;;;;
40265285300000;;;;;
40265285300019;CHAHUTS;9220;90.01Z;BORDEAUX;33000
40265285300069;;;;;
40285022600018;ASSOCIATION LEONARD DE VINCI;9220;85.42Z;COURBEVOIE;92400
40289121200035;ARBRES ET PAYSAGES EN GIRONDE (A&P 33);9220;91.04Z;LE HAILLAN;33185
40305516300000;;;;;
40328030800012;ADERA;5710;72.19Z;PESSAC;33600
40767625300000;;;;;
40919981700000;;;;;
40919981700050;INVEST IN BORDEAUX (IIB);9220;84.13Z;BORDEAUX;33000
40919981700068;INVEST IN BORDEAUX (IIB);9220;84.13Z;BORDEAUX;33000
40996896300010;CENTRE RESSOURCE D'ECOLOGIE PEDAGOGIQUE DE NOUVELLE-AQUITAINE (CREPAQ);9220;94.99Z;BORDEAUX;33800
40996896300028;CENTRE RESSOURCE D'ECOLOGIE PEDAGOGIQUE DE NOUVELLE-AQUITAINE (CREPAQ);9220;94.99Z;BORDEAUX;33800
40997397100016;ASSOCIATION CULTUELLE DE L'EGLISE PROTESTANTE UNIE DE BORDEAUX (AC EPU BORDEAUX);9220;94.91Z;BORDEAUX;33000
41087071100083;ASSOCIATION LES PETITS DEBROUILLARDS NOUVELLE AQUITAINE SUD;9220;93.29Z;BORDEAUX;33800
41138802800010;LES DROITS DU PIETON EN GIRONDE;9220;94.99Z;BORDEAUX;33800
41150905200030;ASSO HAUTS DE RADIO;9220;60.10Z;CENON;33150
41214436200032;DEFENSE DES EXCLUS PAR LA FORMATION ET L'INFORMATION (D.E.F.I.);9220;85.59B;LORMONT;33310
41219456500021;MAISON DE L INITIATIVE ET DE L ENTREPRENEURIAT;9220;88.99B;BORDEAUX;33000
41763246000073;BRUIT DU FRIGO;9220;94.99Z;BORDEAUX;33100
41827063300021;COMPAGNIE TAN DAIM;9220;90.01Z;CANNES;06400
41834346300026;DROP DE BETON;9220;93.12Z;MERIGNAC;33700
41892140900000;;;;;
41892140900011;UNION BORDEAUX METROPOLE (UBM) (UBM);9220;93.12Z;BORDEAUX;33000
41892140900029;UNION BORDEAUX METROPOLE (UBM) (UBM);9220;93.12Z;BORDEAUX;33000
41900910500000;;;;;
41900910500018;CAISSE SOCIALE DE DEVELOPPEMENT LOCAL;9220;88.99B;BORDEAUX;33000
41993219900000;;;;;
41993219900021;CENTRE REGIONAL ECOENERGETIQUE AQUITAINE (CREAQ);9220;94.99Z;BEGLES;33130
41993219900039;CENTRE REGIONAL ECOENERGETIQUE AQUITAINE (CREAQ);9220;94.99Z;BEGLES;33130
42002173500030;SOLIDARITE EAU EUROPE;9260;94.99Z;STRASBOURG;67100
42008956700000;;;;;
42008956700036;ASSOCIATION ESPRIT DE CORPS;9220;90.01Z;BORDEAUX;33800
42008956700044;ASSOCIATION ESPRIT DE CORPS;9220;90.01Z;BORDEAUX;33800
42052348000016;;;;;
42191735200039;FRANCE AMERIQUE LATINE COMITE BORDEAUX GIRONDE (FAL 33);9220;94.99Z;BORDEAUX;33100
42198523500000;;;;;
42198523500017;ARC SUD DEVELOPPEMENT;9220;70.22Z;VILLENAVE-D'ORNON;33140
42208260200042;MEDIAS CITE;5460;74.90B;BORDEAUX;33100
42213614300068;WIMOOV;9220;96.09Z;PARIS;75011
42213614300084;WIMOOV;9220;96.09Z;PARIS;75011
42213614300100;WIMOOV;9220;96.09Z;PARIS;75011
42243827500014;QUATUORS A BORDEAUX;9220;90.01Z;BORDEAUX;33000
42272945900012;SCEA COUSTAUD;6597;01.42Z;PAREMPUYRE;33290
42283936500000;;;;;
42283936500018;ASSO CULTUREL HISTORIQUE AMANIEU BOULIAC;9220;94.99Z;BOULIAC;33270
42428660700041;COMITE SECOURS POPULAIRE FRANC FLOIRAC;9220;88.99B;FLOIRAC;33270
42440458000070;AIM ACTIONS INTER MEDIATION;5499;85.59A;BORDEAUX;33100
42971672300011;TALENCE INNOVATION - SUD DEVELOPPEMENT AGENCE DE DEVELOPPEMENT ECONOMIQUE ET DES TECHNOLOGIES NOUVELLES;9220;84.13Z;TALENCE;33400
43208271700039;ASS CHLOROPHYLLE;9220;94.99Z;PANAZOL;87350
43288382500031;VELO CITE;9220;94.99Z;BORDEAUX;33000
43294548300035;CARREFOURS EMPLOI ARMEES COLLECT ENTR;9230;88.99B;PARIS;75007
43329360200028;LES PUITS DU DESERT;9220;94.99Z;LE GRAND BORNAND;74450
43383539400027;ASS DEVELOPPEMENT LOCAL EMPLOI(A.DE.L.E);9220;94.99Z;BEGLES;33130
43383594000027;;;;;
43403882400042;ADSI TECHNOWEST;9220;94.99Z;MERIGNAC;33700
43403882400059;ADSI TECHNOWEST;9220;94.99Z;MERIGNAC;33700
43434085700000;;;;;
43434085700037;LES ARTS AU MUR;9220;94.99Z;PESSAC;33600
43470528100000;;;;;
43470528100021;LE GARAGE MODERNE ATELIERS ASSOCIATIFS;9220;88.99B;BORDEAUX;33300
43775023500040;L'ATELIER REMUMENAGE;9220;88.99B;BORDEAUX;33800
43997812300024;L AFRIQUE CHEZ VOUS (A.C.V.);9220;90.01Z;LIMOGES;87000
44042396000010;OPERA NATIONAL DE BORDEAUX;7378;90.01Z;BORDEAUX;33000
44105708000018;SCEA DU CHATEAU SEGUR;6597;01.21Z;PAREMPUYRE;33290
44237888100019;UNION SPORTIVE TALENCE ATHLETISME;9220;93.12Z;TALENCE;33400
44336259500000;;;;;
44336259500037;FESTIVAL DES ARTS DE BORDEAUX (FAB);9220;90.01Z;BORDEAUX;33000
44433758800000;;;;;
44433758800040;POLA;9220;91.02Z;BORDEAUX;33100
44493244600032;ECOSITE DU BOURGAILH;9220;94.99Z;PESSAC;33600
45109940200039;"MERLIN PRODUCTIONS (MERLIN HOLDING & GMT PRODUCTIONS)";5710;59.11A;PARIS;75007
45154609700000;;;;;
45154609700028;FRANCE ACTIVE AQUITAINE;9220;88.99B;BORDEAUX;33000
45227479800035;LETTRES DU MONDE;9220;94.99Z;BORDEAUX;33100
45309131600019;BORDEAUX EVENTS AND MORE SAS (BEAM SAS);5710;82.30Z;BORDEAUX;33000
45820496300029;DOMOFRANCE;5546;68.20A;BORDEAUX;33300
45820538200054;CLAIRSIENNE;5599;68.20A;BORDEAUX;33300
46920155200020;MESOLIA HABITAT;5599;68.20A;BORDEAUX;33300
47568081500051;VILOGIA SOCIETE ANONYME D'HLM;5699;68.20A;VILLENEUVE-D'ASCQ;59650
47827698300028;PLIE DES SOURCES;9220;88.99B;CANEJAN;33610
47838951300019;PLIE DES HAUTS DE GARONNE;9220;88.99B;CENON;33150
47838951300027;PLIE DES HAUTS DE GARONNE;9220;88.99B;CENON;33150
47941474000049;AQUIT LASERS PHOTONIQUE APPLIC ALPHA;9220;72.19Z;TALENCE;33400
48029371100028;BORDEAUX ROCK;9220;90.01Z;BORDEAUX;33000
48041736900125;AREMACS;9220;94.99Z;LYON;69007
48090944900013;SCEA A. PERRIN ET FILS;6597;01.21Z;LEOGNAN;33850
48237148100029;COOP'ALPHA - COOPERATIVE D'ACTIVITES ET D'EMPLOI 33 (COOP ALPHA);5560;70.22Z;LORMONT;33310
48237148100060;COOP'ALPHA - COOPERATIVE D'ACTIVITES ET D'EMPLOI 33 (COOP ALPHA);5560;70.22Z;LORMONT;33310
48237148100086;COOP'ALPHA - COOPERATIVE D'ACTIVITES ET D'EMPLOI 33 (COOP ALPHA);5560;70.22Z;LORMONT;33310
48301340500000;;;;;
48301340500012;ASSOCIATION DU COMITE DES OEUVRES SOCIALES DU PERSONNEL DE BORDEAUX METROPOLE;9220;88.99B;BORDEAUX;33000
48428452600072;AEROSPACE VALLEY;9220;94.99Z;TOULOUSE;31400
48428452600100;;;;;
48428659600032;;;;;
48438218900000;;;;;
48438218900021;PASSAGE A L ART;9220;90.03B;LORMONT;33310
48438218900039;PASSAGE A L ART;9220;90.03B;LORMONT;33310
48466802500030;LE BLEU DU CIEL EDITIONS;9220;58.19Z;LIBOURNE;33500
48526995500020;SPORT EMPLOI;9220;88.99B;FLOIRAC;33270
48537603200036;ASSOCIATION XYLOFUTUR PRODUITS ET MATERIAUX DES FORETS CULTIVEES;9220;94.12Z;ARTIGUES-PRES-BORDEAUX;33370
48773632400046;HALTE 33;9220;88.99B;BORDEAUX;33300
48782378300013;TERRE D'ADELES;9220;88.99B;PESSAC;33600
48856661300000;;;;;
48856661300045;COMPAGNONS BATISSEURS NOUVELLE AQUITAINE (C B N A);9220;93.29Z;BORDEAUX;33300
48910279800019;LA COLLINE;9220;94.99Z;CENON;33150
48920860300022;SENS (SOLIDARITE ECHANGES NORD SUD);9260;94.99Z;TALENCE;33400
48925061300028;TECHNOWEST LOGEMENT JEUNES;9220;55.90Z;MERIGNAC;33700
48956307200000;;;;;
48956307200029;ASS DE DEFENSE DES MUSIQUES ALTERNATIVES EN AQUITAINES (ADMAA);9220;90.01Z;BORDEAUX;33000
48980839400014;LE PUZZLE CENTRE SOCIAL ET CULTUREL (LE PUZZLE);9220;88.99B;MERIGNAC;33700
49010963400017;ASS ESPACE SOCIAL ET D ANIMATION D ALAIN COUDERT;9220;94.99Z;PESSAC;33600
49011083000018;ASS LA CHATAIGNERAIE;9220;94.99Z;PESSAC;33600
49052081400032;SOLIHA AGENCE IMMOBILIERE SOCIALE NOUVELLE AQUITAINE (SOLIHA AIS NOUV AQUI);9220;68.32A;BORDEAUX;33800
49058526200069;MAISON DE L EMPLOI DE L INSERTION ECONOMIQUE ET DE L ENTREPRISE DE BORDEAUX (MDE);9220;94.99Z;BORDEAUX;33300
49058526200100;;;;;
49135836200045;UNION BORDEAUX BEGLES;5599;93.12Z;BEGLES;33130
49206573500028;LES ASSOCIES CREW;9220;90.01Z;CENON;33150
49301996200049;ASSOCIATION ENSEMBLE PYGMALION;9220;90.01Z;PARIS;75010
49428909300028;ATELIER GRAPHITE;9220;96.09Z;BORDEAUX;33000
49428909300036;ATELIER GRAPHITE;9220;96.09Z;BORDEAUX;33000
49500944100000;;;;;
49500944100033;AGENCE LOCALE DE L ENERGIE ET DU CLIMAT (ALEC);9220;71.12B;BEGLES;33130
49500944100041;AGENCE LOCALE DE L ENERGIE ET DU CLIMAT (ALEC);9220;71.12B;BEGLES;33130
49518895500019;PORTES DU SUD;9220;88.99B;GRADIGNAN;33170
49793710200018;OBJECTIF PERCHE ATLANTIQUE;9220;93.12Z;CAMBLANES-ET-MEYNAC;33360
49848483100000;;;;;
49848483100033;AQUITAINE GROUPEMENT D'EMPLOYEURS CULTURE (AGEC);9223;78.30Z;BEGLES;33130
49874718700025;BORDEAUX AQUITAINE INNO'VIN;9220;94.99Z;VILLENAVE-D'ORNON;33140
49919608700070;AGRI SUD-OUEST INNOVATION;9220;94.99Z;AUZEVILLE-TOLOSANE;31320
50299030200049;L ACADEMIE DES RUCHES;9220;94.99Z;PARIS;75020
50449400600000;;;;;
50539681200024;SO GAMES - NOUVELLE AQUITAINE (SO GAMES);9220;94.99Z;BORDEAUX;33000
50907979400000;;;;;
50907979400012;ASSOCIATION EUROPEENNE DU FILM D ANIMATION - CARTOON AISBL;3220;82.30Z;;
51063878600028;L ATELIER DES BAINS DOUCHES;9220;94.99Z;BORDEAUX;33800
51066013700033;MONTS ET MERVEILLES;9220;90.01Z;BORDEAUX;33800
